Startup_Name,Industry,City,Investors,Round_Type,Amount_USD,Year,Amount_in_Crores
Credy,IT,Bengaluru,Undisclosed,Seed,14000000.0,2021,1.4
CropIn Technologies,Technology,Bengaluru,Undisclosed,Series B,58000000.0,2021,5.8
Cube,FinTech,Mumbai,Undisclosed,Series A,14000000.0,2021,1.4
Cyclops Medtech,Healthcare,Bengaluru,Undisclosed,Seed,10000000.0,2021,1.0
DailyHunt,Media,Bengaluru,Undisclosed,Series E,60000000.0,2021,6.0
Dainik Jagran,Media,Kanpur,Undisclosed,Seed,4000000.0,2021,0.4
DataTrained,EdTech,Bengaluru,Undisclosed,Seed,12000000.0,2021,1.2
Design Cafe,Design,Bengaluru,Undisclosed,Series B,200000000.0,2021,20.0
Detect Technologies,AI,Chennai,Undisclosed,Series A,27720000.0,2021,2.772
Digiconectt,Technology,Bengaluru,Undisclosed,Seed,1250000.0,2021,0.125
dishq,Food,Bengaluru,Undisclosed,Seed,4000000.0,2021,0.4
Disprz,EdTech,Chennai,Undisclosed,Debt Financing,2021000000.0,2021,202.1
DocPrime,Healthcare,Haryana,Undisclosed,Funding Round,500000000.0,2021,50.0
DoodhWala,Delivery,Bengaluru,Undisclosed,Seed,22000000.0,2021,2.2
Doubtnut,EdTech,Gurugram,Undisclosed,Seed,3500000.0,2021,0.35
Doxper,Healthcare,Mumbai,Undisclosed,Seed,7200000.0,2021,0.72
Dream11,Sports,Mumbai,Undisclosed,Series D,1000000000.0,2021,100.0
DriveU,Transportation,Bengaluru,Undisclosed,Venture - Series Unknown,7000000.0,2021,0.7
Drivezy,Transportation,Bengaluru,Undisclosed,Debt Financing,1000000000.0,2021,100.0
DronaHQ,Technology,Mumbai,Undisclosed,Angel,5000000.0,2021,0.5
Droni Tech,IT,Mumbai,Undisclosed,Seed,3500000.0,2021,0.35
Droom,E-Commerce,Gurugram,Undisclosed,Series E,300000000.0,2021,30.0
Dunzo,Delivery,Bengaluru,Undisclosed,Debt Financing,7000000.0,2021,0.7
Duroflex Pvt. Ltd.,Households,Alleppey,Undisclosed,Private Equity,220000000.0,2021,22.0
Earth Food,Food,Pune,Undisclosed,Seed,6400000.0,2021,0.64
Edureka,EdTech,Bengaluru,Undisclosed,Series A,20000000.0,2021,2.0
Eduvanz,Finance,Mumbai,Undisclosed,Angel,5000000.0,2021,0.5
Edyoo,Education,Bengaluru,Undisclosed,Seed,10000000.0,2021,1.0
Eggoz,Food,Indore,Undisclosed,Angel,1200000.0,2021,0.12
EGK Foods,Food,Mumbai,Undisclosed,Seed,2000000.0,2021,0.2
eKincare,Healthcare,Hyderabad,Undisclosed,Series A,15000000.0,2021,1.5
ElasticRun,Transportation,Pune,Undisclosed,Series B,60000000.0,2021,6.0
Elemential,Data Analytics,Mumbai,Undisclosed,Seed,10000000.0,2021,1.0
Emflux Motors,Transportation,Bengaluru,Undisclosed,Seed,3650000.0,2021,0.365
Enakshi,Personal Care,Ahmedabad,Undisclosed,Seed,800000.0,2021,0.08
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Technology,Pune,Undisclosed,Seed,20000.0,2021,0.002
Entropik,AI,Bengaluru,Undisclosed,Seed,11000000.0,2021,1.1
Eruditus,Education,Mumbai,Undisclosed,Series C,400000000.0,2021,40.0
FabAlley,E-Commerce,Noida,Undisclosed,Series B,60000000.0,2021,6.0
Fasal,Agriculture,Bengaluru,Undisclosed,Seed,1200000.0,2021,0.12
FastFox,Consumer Internet,Gurugram,Undisclosed,Series A,10000000.0,2021,1.0
FeedMyPockets,Finance,Bengaluru,Undisclosed,Seed,4400000.0,2021,0.44
Fincash,Finance,Mumbai,Undisclosed,Seed,1500000.0,2021,0.15
Finzy,Finance,Bangaluru,Undisclosed,Seed,13000000.0,2021,1.3
Fitternity,Consumer Internet,Mumbai,Undisclosed,Seed,20000000.0,2021,2.0
Fixpocket,Marketing,Ahmedabad,Undisclosed,Seed,2500000.0,2021,0.25
Flathalt,Real Estate,Gurugram,Undisclosed,Angel,500000.0,2021,0.05
Flyrobe,Personal Care,Mumbai,Undisclosed,Series B,26400000.0,2021,2.64
FoodBuddy,Delivery,Belgaum,Undisclosed,Seed,6000000.0,2021,0.6
Forum for Innovation Incubation Research and Entrepreneurship,Finance,Goa,Undisclosed,Grant,10250000.0,2021,1.025
Foyr,Design,Hyderabad,Undisclosed,Series A,42000000.0,2021,4.2
Freyr Energy,Energy,Hyderabad,Undisclosed,Series A,12300000.0,2021,1.23
Fusion Microfinance,Finance,New Delhi,Undisclosed,Series E,520000000.0,2021,52.0
Fyle,Technology,Bengaluru,Undisclosed,Seed,11000000.0,2021,1.1
GamingMonk,Entertainment,New Delhi,Undisclosed,Series A,4000000.0,2021,0.4
Goals101,Finance,New Delhi,Undisclosed,Seed,35000000.0,2021,3.5
GoBolt,Logistics,New Delhi,Undisclosed,Venture - Series Unknown,40000000.0,2021,4.0
GoBumpr,Automotive,Chennai,Undisclosed,Seed,6000000.0,2021,0.6
GoGaga,Consumer Internet,Bengaluru,Undisclosed,Non-equity Assistance,400000.0,2021,0.04
GoZefo,E-Commerce,Bengaluru,Undisclosed,Venture - Series Unknown,21000000.0,2021,2.1
Gramophone,Entertainment,Indore,Undisclosed,Seed,10000000.0,2021,1.0
Groww,Finance,Bengaluru,Undisclosed,Seed,1200000.0,2021,0.12
Gugu,Electronics,Coimbatore,Undisclosed,Seed,2500000.0,2021,0.25
Guiddoo World,Travel,Mumbai,Undisclosed,Seed,6560000.0,2021,0.656
GuruQ,EdTech,New Delhi,Undisclosed,Seed,2500000.0,2021,0.25
Haazri,Food,Mumbai,Undisclosed,Seed,1250000.0,2021,0.125
HalaPlay Technologies,Entertainment,Bengaluru,Undisclosed,Series A,50000000.0,2021,5.0
Hansel io,Software,Bengaluru,Undisclosed,Series A,40000000.0,2021,4.0
Happy Cow Dairy,AgriTech,Mumbai,Undisclosed,Seed,4000000.0,2021,0.4
HappyEMI,FinTech,Bengaluru,Undisclosed,Seed,10000000.0,2021,1.0
Hasura,Cloud Tech,Bengaluru,Undisclosed,Seed,16000000.0,2021,1.6
HealthAssure,Healthcare,Mumbai,Undisclosed,Seed,10000000.0,2021,1.0
HealthifyMe,Healthcare,Bengaluru,Undisclosed,Series B,60000000.0,2021,6.0
Healthkart,E-Commerce,Gurugram,Undisclosed,Venture - Series Unknown,100000000.0,2021,10.0
HealthPlix,Healthcare,Bengaluru,Undisclosed,Series A,30000000.0,2021,3.0
HealWell24,Healthcare,Mumbai,Undisclosed,Seed,2000000.0,2021,0.2
Hero Electric,Manufacturing,New Delhi,Undisclosed,Venture - Series Unknown,160000000.0,2021,16.0
Hey Deedee,Delivery,Mumbai,Undisclosed,Seed,3300000.0,2021,0.33
HeyHolidays,Travel,Bengaluru,Undisclosed,Seed,10000000.0,2021,1.0
hoi foods,Food,Gurugram,Undisclosed,Seed,3600000.0,2021,0.36
Hospals,Healthcare,New Delhi,Undisclosed,Seed,12300000.0,2021,1.23
Housejoy,Services,Bengaluru,Undisclosed,Series B,26640000.0,2021,2.664
HousingMan.com,Real Estate,Bengaluru,Undisclosed,Seed,10300000.0,2021,1.03
Hubhopper,Internet,New Delhi,Undisclosed,Series A,5000000.0,2021,0.5
Huddle,Consulting,Gurugram,Undisclosed,Seed,3000000.0,2021,0.3
HungerBox,Food,Bengaluru,Undisclosed,Series A,45000000.0,2021,4.5
Hush - Speak Up. Make Work Better,Services,Bengaluru,Undisclosed,Seed,4500000.0,2021,0.45
Hyperdata.IO,Technology,Hyderabad,Undisclosed,Angel,5000000.0,2021,0.5
HyperXchange,E-Commerce,Pune,Undisclosed,Series A,10000000.0,2021,1.0
i2i Funding,Finance,Noida,Undisclosed,Angel,5000000.0,2021,0.5
Iba Halal Care,Personal Care,Ahmedabad,Undisclosed,Series A,15000000.0,2021,1.5
iChamp,EdTech,Gurugram,Undisclosed,Seed,50000000.0,2021,5.0
Ideal Insurance Brokers/ 121Policy.com,Finance,Kolkata,Undisclosed,Seed,10000000.0,2021,1.0
Idha Skin Clinic,Healthcare,Bengaluru,Undisclosed,Seed,500000.0,2021,0.05
Impact Guru,FinTech,Mumbai,Undisclosed,Series A,16600000.000000002,2021,1.66
InCred Finance,Finance,Mumbai,Undisclosed,Private Equity,419000000.0,2021,41.9
IndigoLearn,EdTech,Hyderabad,Undisclosed,Seed,1500000.0,2021,0.15
IndiQube,Real Estate,Bengaluru,Undisclosed,Series A,150000000.0,2021,15.0
INDwealth,Finance,Gurugram,Undisclosed,Seed,220000000.0,2021,22.0
Inner Being Wellness,Healthcare,Hyderabad,Undisclosed,Angel,3500000.0,2021,0.35
InnerChef,Food,Gurugram,Undisclosed,Venture - Series Unknown,17600000.0,2021,1.76
Innov8,Real Estate,New Delhi,Undisclosed,Seed,40000000.0,2021,4.0
Inthree,Technology,Chennai,Undisclosed,Series A,40000000.0,2021,4.0
ION Energy,Energy,Mumbai,Undisclosed,Venture - Series Unknown,8530000.0,2021,0.853
Jagaran Microfin,Finance,Kolkata,Undisclosed,Debt Financing,55000000.0,2021,5.5
Jetbrain Robotics,Healthcare,Gurugram,Undisclosed,Seed,700000.0,2021,0.07
Kaleidofin,Finance,Chennai,Unknown,Seed,28000000.0,2021,2.8
Kidovators (by GyanLab),EdTech,Bengaluru,Undisclosed,Seed,1800000.0,2021,0.18
Kissht,FinTech,Mumbai,Undisclosed,Series C,300000000.0,2021,30.0
Kogta Financial India Limited,Finance,Jaipur,Undisclosed,Series B,154000000.0,2021,15.4
Kriger Campus,Education,New Delhi,Undisclosed,Seed,3000000.0,2021,0.3
Kuants,Finance,Gurugram,Undisclosed,Seed,500000.0,2021,0.05
Kuvera,Finance,Bengaluru,Undisclosed,Angel,2500000.0,2021,0.25
Lavelle Networks,Cloud Tech,Bengaluru,Undisclosed,Venture - Series Unknown,2000000.0,2021,0.2
LearnApp,EdTech,Noida,Undisclosed,Seed,2000000.0,2021,0.2
Leena AI,AI,Gurugram,Undisclosed,Seed,20000000.0,2021,2.0
Lendbox,Finance,New Delhi,Undisclosed,Seed,6000000.0,2021,0.6
LetsMD,Healthcare,New Delhi,Undisclosed,Seed,10000000.0,2021,1.0
Letstrack,Technology,New Delhi,Undisclosed,Seed,17000000.0,2021,1.7
LetsTransport,Logistics,Bengaluru,Undisclosed,Series B,100000000.0,2021,10.0
Licious,E-Commerce,Bengaluru,Undisclosed,Series C,250000000.0,2021,25.0
Livehealth,Healthcare,Pune,Undisclosed,Seed,11000000.0,2021,1.1
LivQuik,FinTech,Mumbai,Undisclosed,Corporate Round,27000000.0,2021,2.7
LivSpace,Design,Bengaluru,Undisclosed,Series C,700000000.0,2021,70.0
Loadshare,Logistics,Bengaluru,Undisclosed,Series A,50000000.0,2021,5.0
Locus,Logistics,Bengaluru,Undisclosed,Series A,40000000.0,2021,4.0
Log9 Materials,Technology,Bengaluru,Undisclosed,Seed,3000000.0,2021,0.3
LT Foods,Food,New Delhi,Undisclosed,Post-IPO Equity,140000000.0,2021,14.0
Lucideus,Cybersecurity,New Delhi,Undisclosed,Venture - Series Unknown,50000000.0,2021,5.0
MadGuy Labs,EdTech,Hyderabad,Undisclosed,Venture - Series Unknown,2021000000.0,2021,202.1
Magicpin,Consumer Internet,Gurugram,Undisclosed,Series C,141000000.0,2021,14.1
MamaEarth,E-Commerce,Gurugram,Undisclosed,Series A,40000000.0,2021,4.0
Mate Labs,AI,Bengaluru,Undisclosed,Seed,5500000.0,2021,0.55
MCaffeine,Personal Care,Mumbai,Undisclosed,Seed,3200000.0,2021,0.32
McXtra,Finance,Andheri,Undisclosed,Seed,13000000.0,2021,1.3
Mech Mocha,Entertainment,Bengaluru,Undisclosed,Series B,26600000.0,2021,2.66
Med365 Healthcare,Healthcare,Jaipur,Undisclosed,Seed,5000000.0,2021,0.5
MedCords,Healthcare,Pune,Undisclosed,Seed,2640000.0,2021,0.264
Medikabazaar,Healthcare,Mumbai,Undisclosed,Series A,50000000.0,2021,5.0
Meesho,E-Commerce,Bengaluru,Undisclosed,Series C,500000000.0,2021,50.0
MEngage,Healthcare,Jaipur,Undisclosed,Seed,1750000.0,2021,0.175
mfine,Healthcare,Bengaluru,Undisclosed,Series A,42000000.0,2021,4.2
Mihuru,Finance,Mumbai,Undisclosed,Seed,1500000.0,2021,0.15
MilkBasket,E-Commerce,Gurugram,Undisclosed,Series A,70000000.0,2021,7.0
Mintifi,Finance,Mumbai,Undisclosed,Seed,20000000.0,2021,2.0
MissMalini Entertainment,Entertainment,Mumbai,Undisclosed,Seed,10400000.0,2021,1.04
Mobikwik,FinTech,Gurugram,Undisclosed,Series E,24000000.0,2021,2.4
Mobile Premier League (MPL),Entertainment,Bengaluru,Undisclosed,Series A,50000000.0,2021,5.0
Moglix,E-Commerce,Noida,Undisclosed,Series C,230000000.0,2021,23.0
Mojro Technologies,IT,Bengaluru,Undisclosed,Seed,6500000.0,2021,0.65
Mombay,Food,Mumbai,Undisclosed,Seed,80000.0,2021,0.008
Multibhashi,EdTech,Bengaluru,Undisclosed,Seed,1000000.0,2021,0.1
MY CHIRAAG CAB,Travel,Jaipur,Undisclosed,Seed,10000000.0,2021,1.0
MyDentistChoice,Healthcare,Hyderabad,Undisclosed,Seed,5000000.0,2021,0.5
myHQ,Real Estate,New Delhi,Undisclosed,Series A,5000000.0,2021,0.5
MyLoanCare,Finance,Gurugram,Unknown,Series A,6500000.0,2021,0.65
MyNewCar.in,Automotive,Gurugram,Undisclosed,Venture - Series Unknown,8199999.999999999,2021,0.82
Myra,Healthcare,Bengaluru,Undisclosed,Venture - Series Unknown,880000.0,2021,0.088
MyUpchar,Healthcare,New Delhi,Undisclosed,Series A,50000000.0,2021,5.0
Naaptol,E-Commerce,Mumbai,Undisclosed,Venture - Series Unknown,150000000.0,2021,15.0
Netmeds,Healthcare,Chennai,Undisclosed,Series C,350000000.0,2021,35.0
NewsBytes,Media,Gurugram,Undisclosed,Seed,10000000.0,2021,1.0
Next Digital Solutions,Marketing,Kota,Undisclosed,Angel,10000.0,2021,0.001
Ninjacart,AgriTech,Bengaluru,Undisclosed,Series B,250000000.0,2021,25.0
NIRA,Finance,Bengaluru,Undisclosed,Seed,10000000.0,2021,1.0
NIRAMAI Health Analytix,Healthcare,Bengaluru,Undisclosed,Seed,60000000.0,2021,6.0
NirogStreet,Healthcare,Gurugram,Undisclosed,Seed,3000000.0,2021,0.3
Nivesh,Finance,Noida,Undisclosed,Seed,3000000.0,2021,0.3
NiYO Solutions,Finance,Bengaluru,Undisclosed,Series A,132000000.0,2021,13.2
NoPaperForms Solutions Pvt. Ltd.,EdTech,New Delhi,Undisclosed,Series B,32840000.000000004,2021,3.2840000000000003
Notesgen,EdTech,New Delhi,Undisclosed,Seed,1250000.0,2021,0.125
Nykaa,Consumer Internet,Mumbai,Undisclosed,Secondary Market,113000000.0,2021,11.3
Ola,Transportation,Bengaluru,Undisclosed,Venture - Series Unknown,500000000.0,2021,50.0
OneAssist,Consumer Internet,Mumbai,Undisclosed,Debt Financing,19840000.0,2021,1.984
ONGO Framework,Technology,Hyderabad,Undisclosed,Angel,10000000.0,2021,1.0
Origo Commodities India Pvt. Ltd,AgriTech,Gurugram,Undisclosed,Venture - Series Unknown,80000000.0,2021,8.0
ORO Wealth,FinTech,Mumbai,Undisclosed,Series A,16000000.0,2021,1.6
OTO Capital,Automotive,Mumbai,Undisclosed,Seed,5000000.0,2021,0.5
OYO,Hospitality,Gurugram,Undisclosed,Series E,1000000000.0,2021,100.0
PaisaDukan,Finance,Mumbai,Undisclosed,Seed,6500000.0,2021,0.65
Pando,Logistics,Chennai,Unknown,Seed,20000000.0,2021,2.0
Pandorum Technologies,Technology,Bengaluru,Undisclosed,Series A,36000000.0,2021,3.6
Parkwheels,Transportation,Haryana,Undisclosed,Seed,1200000.0,2021,0.12
Paymatrix,FinTech,Hyderabad,Undisclosed,Seed,740000.0,2021,0.074
PayMe India,FinTech,Noida,Undisclosed,Angel,20000000.0,2021,2.0
PerkFinance,FinTech,Bengaluru,Undisclosed,Seed,7380000.0,2021,0.738
Perpule,Software,Bengaluru,Undisclosed,Series A,34000000.0,2021,3.4
PetSutra,Consumer Internet,Gurugram,Undisclosed,Seed,950000.0,2021,0.095
PharmEasy,Healthcare,Mumbai,Undisclosed,Series C,800000000.0,2021,80.0
Picture TIme,Media,New Delhi,Undisclosed,Seed,25000000.0,2021,2.5
Picxy,Internet,Guntur,Undisclosed,Seed,1300000.0,2021,0.13
PinkBlue,Healthcare,Bengaluru,Undisclosed,Seed,3000000.0,2021,0.3
Pipa Bella,E-Commerce,Mumbai,Undisclosed,Series A,10000000.0,2021,1.0
Pitstop,Consumer Internet,Bengaluru,Undisclosed,Seed,10000000.0,2021,1.0
Pixr8,Media,Ghaziabad,Undisclosed,Seed,500000.0,2021,0.05
Placio,Hospitality,Noida,Undisclosed,Seed,20000000.0,2021,2.0
Planet11 eCommerce Solutions India (Avenue11),E-Commerce,Bengaluru,Undisclosed,Corporate Round,26000000.0,2021,2.6
PlanetSpark,EdTech,Gurugram,Undisclosed,Seed,1600000.0,2021,0.16
Planys Technologies,Technology,Chennai,Undisclosed,Series A,14020000.0,2021,1.402
Playtoome,Entertainment,Bengaluru,Undisclosed,Seed,2000000.0,2021,0.2
Portea Medical,Healthcare,Bengaluru,Undisclosed,Debt Financing,25000000.0,2021,2.5
PratiLipi,Consumer Internet,Bengaluru,Undisclosed,Series A,43000000.0,2021,4.3
PrestLoans,Finance,New Delhi,Undisclosed,Seed,1000000.0,2021,0.1
Printline Media(ThePrint),Media,New Delhi,Undisclosed,Seed,3490000.0,2021,0.349
Propelld,FinTech,Bengaluru,Undisclosed,Seed,2500000.0,2021,0.25
Propshop24,E-Commerce,Mumbai,Undisclosed,Seed,5000000.0,2021,0.5
Qandle,Software,Gurugram,Undisclosed,Seed,12000000.0,2021,1.2
Qbera,Finance,Bengaluru,Undisclosed,Venture - Series Unknown,14000000.0,2021,1.4
Quikr,Marketing,Bengaluru,Undisclosed,Debt Financing,55000000.0,2021,5.5
Racetrack,AI,Bengaluru,Undisclosed,Seed,34200000.0,2021,3.42
Rays Power Infra,Energy,Jaipur,Undisclosed,Venture - Series Unknown,200000000.0,2021,20.0
Roadcast,Logistics,New Delhi,Undisclosed,Angel,2500000.0,2021,0.25
Rocketium,Technology,Bengaluru,Undisclosed,Seed,2000000.0,2021,0.2
Rooter,Sports,New Delhi,Undisclosed,Seed,4500000.0,2021,0.45
Roposo,Social Media,Gurugram,Undisclosed,Series C,100000000.0,2021,10.0
Royal Sundaram General Insurance Co. Limited,Healthcare,Kalpakkam,Undisclosed,Corporate Round,2100000000.0,2021,210.0
Rubix,Technology,Pune,Undisclosed,Seed,10000000.0,2021,1.0
RupeeCircle,Finance,Mumbai,Undisclosed,Seed,4000000.0,2021,0.4
Rupeek,Finance,Bengaluru,Undisclosed,Series A,68300000.0,2021,6.83
SaffronStays,Travel,Mumbai,Undisclosed,Seed,20000000.0,2021,2.0
Satin Creditcare,Finance,New Delhi,Undisclosed,Post-IPO Debt,300000000.0,2021,30.0
SATYA Microcapital,Finance,New Delhi,Undisclosed,Venture - Series Unknown,40000000.0,2021,4.0
SBI Life,Finance,Mumbai,Undisclosed,Private Equity,7420000000.0,2021,742.0
Scale Labs,Technology,New Delhi,Undisclosed,Seed,10000000.0,2021,1.0
Scapic,Cloud Tech,Bengaluru,Undisclosed,Seed,5000000.0,2021,0.5
Sensibull,FinTech,Bengaluru,Undisclosed,Seed,2500000.0,2021,0.25
Sequretek,Cybersecurity,Mumbai,Undisclosed,Venture - Series Unknown,37000000.0,2021,3.7
Shape,Healthcare,Pune,Undisclosed,Seed,2000000.0,2021,0.2
ShareChat,Social Media,Bengaluru,Undisclosed,Series C,992300000.0,2021,99.23
Shirsa Labs,EdTech,Mumbai,Undisclosed,Seed,5000000.0,2021,0.5
Shop101,E-Commerce,Mumbai,Undisclosed,Series B,110000000.0,2021,11.0
Shopkirana,E-Commerce,Indore,Undisclosed,Venture - Series Unknown,16600000.000000002,2021,1.66
Shuttl,Transportation,Gurugram,Undisclosed,Debt Financing,10000000.0,2021,1.0
Signzy,FinTech,Bengaluru,Undisclosed,Series A,24000000.0,2021,2.4
Silversparro Technologies Pvt. Ltd,Technology,Gurugram,Undisclosed,Seed,3000000.0,2021,0.3
Simulanis,Technology,New Delhi,Undisclosed,Seed,5000000.0,2021,0.5
Sleepy Owl Coffee,Food,New Delhi,Undisclosed,Seed,3500000.0,2021,0.35
SlicePay,FinTech,Bengaluru,Undisclosed,Series A,149000000.0,2021,14.9
Smartcoin,Finance,Bengaluru,Undisclosed,Seed,20000000.0,2021,2.0
SmartVizX,Technology,Noida,Undisclosed,Seed,14500000.0,2021,1.45
Spinny,E-Commerce,Gurugram,Undisclosed,Series A,110000000.0,2021,11.0
Sportido,Sports,New Delhi,Undisclosed,Seed,10000000.0,2021,1.0
Sqrrl Fintech,Finance,Gurugram,Undisclosed,Seed,10000000.0,2021,1.0
Square Off,IoT,Mumbai,Undisclosed,Seed,9020000.0,2021,0.902
Stanza Living,Technology,New Delhi,Undisclosed,Venture - Series Unknown,73000000.0,2021,7.3
Stelis Biopharma,Healthcare,Bengaluru,Undisclosed,Series B,1000000000.0,2021,100.0
StockEdge,Data Analytics,Kolkata,Undisclosed,Seed,11000000.0,2021,1.1
Streak,Finance,Bengaluru,Undisclosed,Seed,2250000.0,2021,0.225
Studds Accessories,E-Commerce,Faridabad,Undisclosed,Private Equity,100000000.0,2021,10.0
Sukkhi Jewellery,Personal Care,Mumbai,Undisclosed,Venture - Series Unknown,51000000.0,2021,5.1
Survaider,Technology,Bengaluru,Undisclosed,Seed,5000000.0,2021,0.5
Swiggy,Food,Bengaluru,Undisclosed,Series H,10000000000.0,2021,1000.0
TECHBOOZE,Education,New Delhi,Undisclosed,Seed,740000.0,2021,0.074
The Ken,Consumer Internet,Bengaluru,Undisclosed,Series A,15000000.0,2021,1.5
The Souled Store,Personal Care,Mumbai,Undisclosed,Venture - Series Unknown,24900000.0,2021,2.49
TheCollegeFever,Marketing,Bengaluru,Undisclosed,Seed,2500000.0,2021,0.25
Toffee,FinTech,Gurugram,Undisclosed,Seed,15000000.0,2021,1.5
Tolet for Students,Hospitality,Jodhpur,Undisclosed,Seed,500000.0,2021,0.05
Toppr,EdTech,Mumbai,Undisclosed,Series C,350000000.0,2021,35.0
Traveo Soft Pvt. Ltd.,Travel,Bengaluru,Undisclosed,Undisclosed,120000.0,2021,0.012
Trell,Social Media,Bengaluru,Undisclosed,Seed,12500000.0,2021,1.25
Trendlyne Technologies,Finance,Bengaluru,Undisclosed,Seed,2000000.0,2021,0.2
Tricog Health Services Pvt Ltd,Healthcare,Bengaluru,Undisclosed,Series A,40000000.0,2021,4.0
Tripeur,IT,Bengaluru,Undisclosed,Seed,6000000.0,2021,0.6
Tripshelf,Marketing,New Delhi,Undisclosed,Seed,1600000.0,2021,0.16
True Elements,Healthcare,Pune,Undisclosed,Seed,5000000.0,2021,0.5
Truebil,Automotive,Mumbai,Undisclosed,Series A,20000000.0,2021,2.0
TrustCheckr,IT,Bengaluru,Undisclosed,Angel,1000000.0,2021,0.1
Twenty Two Motors,Technology,Haryana,Undisclosed,Corporate Round,650000000.0,2021,65.0
UClean,Consumer Internet,Bengaluru,Undisclosed,Seed,4000000.0,2021,0.4
Udaan,B2B,Bengaluru,Undisclosed,Series C,2250000000.0,2021,225.0
Ultraviolette Automotive,Automotive,Bengaluru,Undisclosed,Series A,10000.0,2021,0.001
Ummeed Housing Finance Private Limited,Finance,Haryana,Undisclosed,Series C,60000000.0,2021,6.0
UnoTag,AI,Bengaluru,Undisclosed,Pre-Seed,740000.0,2021,0.074
Upwards,Internet,Mumbai,Undisclosed,Series A,50000000.0,2021,5.0
Urban Ladder,E-Commerce,Bengaluru,Undisclosed,Debt Financing,56000000.0,2021,5.6
UrbanClap,Services,Gurugram,Undisclosed,Series D,500000000.0,2021,50.0
Vahdam Teas,E-Commerce,New Delhi,Undisclosed,Series B,25000000.0,2021,2.5
Vedantu,EdTech,Bengaluru,Undisclosed,Series B,110000000.0,2021,11.0
Veritas Finance,Finance,Chennai,Undisclosed,Venture - Series Unknown,300000000.0,2021,30.0
Verloop,Services,Bengaluru,Undisclosed,Series A,24900000.0,2021,2.49
Verzeo,EdTech,Bengaluru,Undisclosed,Series A,50000000.0,2021,5.0
Virtual Logic,Technology,Bengaluru,Undisclosed,Angel,7000000.0,2021,0.7
Vistara,Airlines,Haryana,Undisclosed,Private Equity,2000000000.0,2021,200.0
Vivish Technologies (myGate),IT,Bengaluru,Undisclosed,Series A,65000000.0,2021,6.5
Vivriti Capital,FinTech,Chennai,Undisclosed,Venture - Series Unknown,285000000.0,2021,28.5
Vizzbee,AI,Bhopal,Undisclosed,Pre-Seed,150000.0,2021,0.015
Vogo,Transportation,Bengaluru,Undisclosed,Debt Financing,8000000.0,2021,0.8
Vokal,Internet,Bengaluru,Undisclosed,Series A,15000000.0,2021,1.5
VTION,Technology,Gurugram,Undisclosed,Seed,1920000.0,2021,0.192
WakeFit,Households,Bengaluru,Undisclosed,Venture - Series Unknown,65000000.0,2021,6.5
WalMart India,Retail,Gurugram,Undisclosed,Venture - Series Unknown,376800000.0,2021,37.68
Wealthtrust,Finance,Mumbai,Undisclosed,Seed,5000000.0,2021,0.5
Wellthy Therapeutics Pvt Ltd,Healthcare,Mumbai,Undisclosed,Seed,13500000.0,2021,1.35
WheelsEMI,FinTech,Pune,Undisclosed,Series B,140000000.0,2021,14.0
Wholesome Habits (EAT Anytime),Food,Mumbai,Undisclosed,Seed,5000000.0,2021,0.5
WHR,Healthcare,Pune,Undisclosed,Seed,1430000.0,2021,0.143
Wicked Ride Adventure Services Private Limited,Automotive,Bengaluru,Undisclosed,Venture - Series Unknown,100000000.0,2021,10.0
Wimoxez,Internet,Hyderabad,Undisclosed,Seed,150000.0,2021,0.015
Wishberry,Finance,Mumbai,Undisclosed,Series A,10000000.0,2021,1.0
Wooden Street,E-Commerce,Jaipur,Undisclosed,Series A,10000000.0,2021,1.0
Workflexi,Careers,Bengaluru,Undisclosed,Seed,1000000.0,2021,0.1
Worxogo,IT,Bengaluru,Undisclosed,Series A,16500000.0,2021,1.65
Wow Express,Technology,Mumbai,Undisclosed,Series A,45000000.0,2021,4.5
Wow Venue,Event Management,Mumbai,Undisclosed,Venture - Series Unknown,12300000.0,2021,1.23
Yaantra,IT,New Delhi,Undisclosed,Debt Financing,16600000.000000002,2021,1.66
YourOwnROOM,Hospitality,Bengaluru,Undisclosed,Seed,750000.0,2021,0.075
Yumlane,Food,Mumbai,Undisclosed,Series A,40000000.0,2021,4.0
ZestMoney,FinTech,Bengaluru,Undisclosed,Series A,134000000.0,2021,13.4
ZiffyHomes,Marketing,New Delhi,Undisclosed,Seed,1200000.0,2021,0.12
Zomato,Food,Gurugram,Undisclosed,Secondary Market,2100000000.0,2021,210.0
ZunRoof,Energy,Gurugram,Undisclosed,Angel,1660000.0,2021,0.166
Swiggy,Online Food Delivery,Bengaluru,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000.0,2021,34.3
Beldara,E-commerce,Mumbai,Hindustan Media Ventures,Venture,7400000.0,2021,0.74
Groww,FinTech,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series D,83000000.0,2021,8.3
Meesho,E-commerce,Bengaluru,SoftBank Vision Fund 2,Series E,300000000.0,2021,30.0
BYJU’S,Edu-tech,Bengaluru,Innoven Capital,Series F,460000000.0,2021,46.0
Uniphore,Technology,Palo Alto,Sorenson Capital Partners,Series D,140000000.0,2021,14.0
BYJU’S,Edu-tech,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series F,460000000.0,2021,46.0
